open,high,low,close,volume,datetime
198.89,198.93,198.83,198.86,35953,1749752580000
198.85,198.92,198.77,198.895,50209,1749752640000
198.905,198.99,198.88,198.93,42748,1749752700000
198.93,198.99,198.82,198.9567,53438,1749752760000
198.967,198.975,198.665,198.73,134126,1749752820000
198.74,198.87,198.71,198.8,60128,1749752880000
198.8,198.82,198.725,198.75,43793,1749752940000
198.76,198.79,198.72,198.75,63644,1749753000000
198.75,198.78,198.64,198.66,71381,1749753060000
198.65,198.65,198.545,198.63,66979,1749753120000
198.63,198.72,198.61,198.71,49209,1749753180000
198.72,198.75,198.65,198.7048,51108,1749753240000
198.7,198.8599,198.67,198.84,80196,1749753300000
198.84,198.86,198.8,198.85,37568,1749753360000
198.845,198.86,198.67,198.6941,51491,1749753420000
198.7,198.7,198.61,198.69,52746,1749753480000
198.675,198.8,198.675,198.7875,23123,1749753540000
198.79,198.8799,198.755,198.83,28098,1749753600000
198.83,198.85,198.74,198.83,28052,1749753660000
198.835,198.84,198.72,198.73,20287,1749753720000
198.73,198.78,198.7,198.77,19484,1749753780000
198.755,198.795,198.75,198.77,19948,1749753840000
198.76,198.79,198.73,198.74,16031,1749753900000
198.74,198.76,198.66,198.68,35693,1749753960000
198.6723,198.8,198.67,198.8,41075,1749754020000
198.82,198.85,198.69,198.73,70583,1749754080000
198.74,198.78,198.72,198.76,40919,1749754140000
198.76,198.78,198.71,198.78,30016,1749754200000
198.77,198.88,198.76,198.875,30091,1749754260000
198.875,198.89,198.85,198.8701,26985,1749754320000
198.88,198.96,198.84,198.959,38554,1749754380000
198.94,199.025,198.93,198.97,45205,1749754440000
198.97,199.0,198.89,198.95,40233,1749754500000
198.956,198.956,198.84,198.875,23927,1749754560000
198.88,198.92,198.84,198.8999,33605,1749754620000
198.9,198.93,198.8501,198.92,25536,1749754680000
198.915,199.03,198.915,198.985,53278,1749754740000
198.98,199.0604,198.97,198.98,47055,1749754800000
198.995,198.995,198.874,198.8868,32144,1749754860000
198.88,198.96,198.87,198.91,21496,1749754920000
198.91,198.96,198.9,198.94,24350,1749754980000
198.94,198.94,198.89,198.91,20378,1749755040000
198.91,198.99,198.8906,198.95,23406,1749755100000
198.945,198.9514,198.89,198.94,19386,1749755160000
198.945,199.0486,198.94,199.0203,49971,1749755220000
199.03,199.05,198.92,198.92,38124,1749755280000
198.915,198.945,198.91,198.9392,19326,1749755340000
198.945,198.98,198.9301,198.94,38156,1749755400000
198.96,199.01,198.91,198.97,33618,1749755460000
198.96,198.995,198.95,198.96,31050,1749755520000
198.95,198.955,198.91,198.9401,44999,1749755580000
198.945,198.965,198.88,198.88,47798,1749755640000
198.885,198.96,198.8504,198.9501,30336,1749755700000
198.95,199.04,198.94,198.95,60469,1749755760000
198.945,199.02,198.91,198.99,41954,1749755820000
198.98,198.99,198.9,198.905,26521,1749755880000
198.905,198.94,198.89,198.91,40488,1749755940000
198.9,198.905,198.87,198.89,20570,1749756000000
198.895,198.92,198.88,198.895,20301,1749756060000
198.895,198.93,198.88,198.9,22591,1749756120000
198.9,198.935,198.89,198.92,26550,1749756180000
198.9265,198.965,198.89,198.906,33350,1749756240000
198.9,198.9,198.8299,198.86,39847,1749756300000
198.87,198.916,198.86,198.915,29542,1749756360000
198.92,198.949,198.9,198.9,35320,1749756420000
198.9,198.9775,198.895,198.9401,36166,1749756480000
198.9499,198.98,198.87,198.885,43760,1749756540000
198.88,198.9,198.83,198.85,38779,1749756600000
198.8411,198.85,198.77,198.7913,52326,1749756660000
198.795,198.82,198.72,198.795,26797,1749756720000
198.795,198.88,198.78,198.88,46762,1749756780000
198.87,198.895,198.83,198.885,36132,1749756840000
198.88,198.885,198.81,198.8346,31641,1749756900000
198.835,198.9,198.83,198.865,31131,1749756960000
198.865,198.865,198.79,198.82,22605,1749757020000
198.815,198.9,198.81,198.88,35476,1749757080000
198.87,198.895,198.87,198.87,33746,1749757140000
198.87,198.875,198.7815,198.8,34073,1749757200000
198.8,198.8043,198.75,198.79,25636,1749757260000
198.7898,198.83,198.78,198.8,33053,1749757320000
198.8,198.8,198.6622,198.68,46995,1749757380000
198.67,198.68,198.5874,198.62,60852,1749757440000
198.62,198.621,198.51,198.5993,53124,1749757500000
198.6,198.62,198.485,198.52,57493,1749757560000
198.5101,198.61,198.5101,198.595,26284,1749757620000
198.5999,198.625,198.48,198.505,58412,1749757680000
198.505,198.575,198.4736,198.57,42062,1749757740000
198.56,198.65,198.4,198.56,94176,1749757800000
198.563,198.6385,198.51,198.54,50447,1749757860000
198.54,198.62,198.47,198.57,61390,1749757920000
198.57,198.68,198.55,198.63,107689,1749757980000
198.63,198.74,198.52,198.695,180644,1749758040000
198.71,199.03,198.71,198.8088,318369,1749758100000
198.81,198.8793,198.76,198.875,154276,1749758160000
198.86,198.9,198.8,198.9,144915,1749758220000
198.9,199.055,198.89,198.97,345553,1749758280000
198.96,199.2,198.86,199.175,718881,1749758340000
