Datetime,Ticker,Open,High,Low,Close,Volume
2025-06-16 00:00:00,MSFT,475.02,475.02,475.02,475.02,5
2025-06-16 00:01:00,MSFT,475.02,475.02,475.0,475.0,15
2025-06-16 00:03:00,MSFT,475.01,475.01,474.91,474.91,104
2025-06-16 00:05:00,MSFT,474.77,474.77,474.77,474.77,13
2025-06-16 00:06:00,MSFT,474.77,474.77,474.77,474.77,187
2025-06-16 00:08:00,MSFT,474.91,474.91,474.91,474.91,13
2025-06-16 00:11:00,MSFT,474.91,474.91,474.91,474.91,13
2025-06-16 00:12:00,MSFT,474.91,474.91,474.91,474.91,4
2025-06-16 00:15:00,MSFT,474.81,474.81,474.81,474.81,13
2025-06-16 00:17:00,MSFT,474.75,474.75,474.68,474.68,174
2025-06-16 00:18:00,MSFT,474.65,474.65,474.65,474.65,4
2025-06-16 00:19:00,MSFT,474.76,474.76,474.76,474.76,13
2025-06-16 00:21:00,MSFT,474.75,474.76,474.75,474.76,56
2025-06-16 00:22:00,MSFT,474.76,474.76,474.74,474.74,43
2025-06-16 00:23:00,MSFT,474.76,474.76,474.76,474.76,146
2025-06-16 00:25:00,MSFT,474.75,474.75,474.75,474.75,10
2025-06-16 00:28:00,MSFT,474.61,474.61,474.61,474.61,10
2025-06-16 00:31:00,MSFT,474.55,474.55,474.52,474.52,64
2025-06-16 00:32:00,MSFT,474.48,474.48,474.48,474.48,1
2025-06-16 00:34:00,MSFT,474.43,474.43,474.27,474.27,72
2025-06-16 00:35:00,MSFT,474.34,474.34,474.32,474.32,95
2025-06-16 00:37:00,MSFT,474.32,474.52,474.32,474.52,2
2025-06-16 00:57:00,MSFT,474.51,474.51,474.51,474.51,1
2025-06-16 01:01:00,MSFT,474.51,474.51,474.51,474.51,10
2025-06-16 01:02:00,MSFT,474.51,474.52,474.51,474.52,45
2025-06-16 01:03:00,MSFT,474.6,474.73,474.6,474.73,124
2025-06-16 01:06:00,MSFT,474.85,474.85,474.85,474.85,10
2025-06-16 01:07:00,MSFT,474.96,474.96,474.96,474.96,60
